snapshot,p_set,q_set
2024-01-01 00:00:00,0.1099,0.0532
2024-01-01 01:00:00,0.1045,0.0506
2024-01-01 02:00:00,0.0612,0.0297
2024-01-01 03:00:00,0.0729,0.0353
2024-01-01 04:00:00,0.1543,0.0747
2024-01-01 05:00:00,0.1665,0.0806
2024-01-01 06:00:00,0.1836,0.0889
2024-01-01 07:00:00,0.2094,0.1014
2024-01-01 08:00:00,0.1194,0.0578
2024-01-01 09:00:00,0.141,0.0683
2024-01-01 10:00:00,0.1107,0.0536
2024-01-01 11:00:00,0.1239,0.06
2024-01-01 12:00:00,0.1337,0.0648
2024-01-01 13:00:00,0.1981,0.096
2024-01-01 14:00:00,0.1658,0.0803
2024-01-01 15:00:00,0.1839,0.089
2024-01-01 16:00:00,0.2902,0.1405
2024-01-01 17:00:00,0.298,0.1443
2024-01-01 18:00:00,0.3973,0.1924
2024-01-01 19:00:00,0.4122,0.1997
2024-01-01 20:00:00,0.3194,0.1547
2024-01-01 21:00:00,0.3062,0.1483
2024-01-01 22:00:00,0.2127,0.103
2024-01-01 23:00:00,0.2019,0.0978
2024-01-02 00:00:00,0.1099,0.0532
2024-01-02 01:00:00,0.1045,0.0506
2024-01-02 02:00:00,0.0612,0.0297
2024-01-02 03:00:00,0.0729,0.0353
2024-01-02 04:00:00,0.1543,0.0747
2024-01-02 05:00:00,0.1665,0.0806
2024-01-02 06:00:00,0.1836,0.0889
2024-01-02 07:00:00,0.2094,0.1014
2024-01-02 08:00:00,0.1194,0.0578
2024-01-02 09:00:00,0.141,0.0683
2024-01-02 10:00:00,0.1107,0.0536
2024-01-02 11:00:00,0.1239,0.06
2024-01-02 12:00:00,0.1337,0.0648
2024-01-02 13:00:00,0.1981,0.096
2024-01-02 14:00:00,0.1658,0.0803
2024-01-02 15:00:00,0.1839,0.089
2024-01-02 16:00:00,0.2902,0.1405
2024-01-02 17:00:00,0.298,0.1443
2024-01-02 18:00:00,0.3973,0.1924
2024-01-02 19:00:00,0.4122,0.1997
2024-01-02 20:00:00,0.3194,0.1547
2024-01-02 21:00:00,0.3062,0.1483
2024-01-02 22:00:00,0.2127,0.103
2024-01-02 23:00:00,0.2019,0.0978
2024-01-03 00:00:00,0.1099,0.0532
2024-01-03 01:00:00,0.1045,0.0506
2024-01-03 02:00:00,0.0612,0.0297
2024-01-03 03:00:00,0.0729,0.0353
2024-01-03 04:00:00,0.1543,0.0747
2024-01-03 05:00:00,0.1665,0.0806
2024-01-03 06:00:00,0.1836,0.0889
2024-01-03 07:00:00,0.2094,0.1014
2024-01-03 08:00:00,0.1194,0.0578
2024-01-03 09:00:00,0.141,0.0683
2024-01-03 10:00:00,0.1107,0.0536
2024-01-03 11:00:00,0.1239,0.06
2024-01-03 12:00:00,0.1337,0.0648
2024-01-03 13:00:00,0.1981,0.096
2024-01-03 14:00:00,0.1658,0.0803
2024-01-03 15:00:00,0.1839,0.089
2024-01-03 16:00:00,0.2902,0.1405
