# time [UTC+00], p_set [MW], q_set [MVAR] (power_factor=0.9)
time,p_set,q_set
2024-01-01 00:00:00,0.0759,0.0368
2024-01-01 01:00:00,0.15,0.0727
2024-01-01 02:00:00,0.0781,0.0378
2024-01-01 03:00:00,0.1288,0.0624
2024-01-01 04:00:00,0.1428,0.0692
2024-01-01 05:00:00,0.0934,0.0452
2024-01-01 06:00:00,0.1826,0.0884
2024-01-01 07:00:00,0.2521,0.1221
2024-01-01 08:00:00,0.1465,0.071
2024-01-01 09:00:00,0.1564,0.0758
2024-01-01 10:00:00,0.0529,0.0256
2024-01-01 11:00:00,0.1188,0.0575
2024-01-01 12:00:00,0.1332,0.0645
2024-01-01 13:00:00,0.1601,0.0775
2024-01-01 14:00:00,0.1168,0.0566
2024-01-01 15:00:00,0.1827,0.0885
2024-01-01 16:00:00,0.2854,0.1382
2024-01-01 17:00:00,0.3228,0.1563
2024-01-01 18:00:00,0.287,0.139
2024-01-01 19:00:00,0.4111,0.1991
2024-01-01 20:00:00,0.3723,0.1803
2024-01-01 21:00:00,0.2959,0.1433
2024-01-01 22:00:00,0.247,0.1197
2024-01-01 23:00:00,0.1385,0.0671
