# time [UTC+00], p_set [MW], q_set [MVAR] (power_factor=0.9)
time,p_set,q_set
2024-01-01 00:00:00,0.2769,0.1341
2024-01-01 01:00:00,0.3445,0.1669
2024-01-01 02:00:00,0.3174,0.1537
2024-01-01 03:00:00,0.3166,0.1533
2024-01-01 04:00:00,0.4175,0.2022
2024-01-01 05:00:00,0.3789,0.1835
2024-01-01 06:00:00,0.3933,0.1905
2024-01-01 07:00:00,0.4039,0.1956
2024-01-01 08:00:00,0.5048,0.2445
2024-01-01 09:00:00,0.4163,0.2016
2024-01-01 10:00:00,0.4905,0.2376
2024-01-01 11:00:00,0.5021,0.2432
2024-01-01 12:00:00,0.4626,0.2241
2024-01-01 13:00:00,0.5165,0.2502
2024-01-01 14:00:00,0.5054,0.2448
2024-01-01 15:00:00,0.4839,0.2343
2024-01-01 16:00:00,0.4295,0.208
2024-01-01 17:00:00,0.394,0.1908
2024-01-01 18:00:00,0.3152,0.1526
2024-01-01 19:00:00,0.3139,0.152
2024-01-01 20:00:00,0.3493,0.1692
2024-01-01 21:00:00,0.3106,0.1504
2024-01-01 22:00:00,0.3027,0.1466
2024-01-01 23:00:00,0.2957,0.1432
