# time [UTC+00], p_set [MW], q_set [MVAR] (power_factor=0.9)
time,p_set,q_set
2024-01-01 00:00:00,0.0945,0.0458
2024-01-01 01:00:00,0.0624,0.0302
2024-01-01 02:00:00,0.1137,0.0551
2024-01-01 03:00:00,0.0882,0.0427
2024-01-01 04:00:00,0.1267,0.0614
2024-01-01 05:00:00,0.1479,0.0716
2024-01-01 06:00:00,0.2828,0.137
2024-01-01 07:00:00,0.3353,0.1624
2024-01-01 08:00:00,0.3018,0.1462
2024-01-01 09:00:00,0.4153,0.2011
2024-01-01 10:00:00,0.4973,0.2409
2024-01-01 11:00:00,0.5053,0.2447
2024-01-01 12:00:00,0.4856,0.2352
2024-01-01 13:00:00,0.5177,0.2507
2024-01-01 14:00:00,0.5438,0.2634
2024-01-01 15:00:00,0.4722,0.2287
2024-01-01 16:00:00,0.42,0.2034
2024-01-01 17:00:00,0.3814,0.1847
2024-01-01 18:00:00,0.2285,0.1107
2024-01-01 19:00:00,0.1445,0.07
2024-01-01 20:00:00,0.1374,0.0666
2024-01-01 21:00:00,0.0562,0.0272
2024-01-01 22:00:00,0.0712,0.0345
2024-01-01 23:00:00,0.1004,0.0486
